author,published_at,updated_at,like_count,text
@girirajtejra1179,2024-01-14T04:50:34Z,2024-01-14T04:50:34Z,1,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@ushagupta5985,2024-01-14T04:50:22Z,2024-01-14T04:50:22Z,1,Jay shree ram🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@MukeshKumar-ni1sr,2024-01-14T04:50:20Z,2024-01-14T04:50:20Z,1,Jay shree Ram ❤❤❤🎉
@user-ng8kv7ck8k,2024-01-14T04:50:10Z,2024-01-14T04:50:10Z,1,Jay shree Ram 🙏🙏🙏🙏
@amantiwari7746,2024-01-14T04:50:02Z,2024-01-14T04:50:02Z,1,Namo again
@rustamsingh5427,2024-01-14T04:49:58Z,2024-01-14T04:49:58Z,1,Wow nice bhajan and kya voice hai 😊
@sumanRiyal,2024-01-14T04:49:16Z,2024-01-14T04:49:16Z,1,jai shree ram
@TinkalKumari-vq5ru,2024-01-14T04:49:09Z,2024-01-14T04:49:09Z,2,Jai shree Ram❤❤
@viveksingh659,2024-01-14T04:47:48Z,2024-01-14T04:47:48Z,1,Heart Touching 🎉
@bhaskarff225,2024-01-14T04:47:30Z,2024-01-14T04:47:30Z,1,Jai shree Ram 🙏🙏🙏🙏
@anjalijain2670,2024-01-14T04:47:27Z,2024-01-14T04:47:27Z,1,जय श्री ram
@dhruvraj2812,2024-01-14T04:46:25Z,2024-01-14T04:46:25Z,1,The power of India song and power
@user-oc1mp9ng2f,2024-01-14T04:44:53Z,2024-01-14T04:44:53Z,1,This song equal to my heart beat
@OxAkashFacts,2024-01-14T04:44:13Z,2024-01-14T04:44:13Z,1,jay shree ram bat i m Musalman ❤
@sahilandamitsharma3419,2024-01-14T04:40:09Z,2024-01-14T04:40:09Z,1,Jai shree ram 🙏🚩🙏🚩🙏
@niteeshkumargoodsir8391,2024-01-14T04:39:13Z,2024-01-14T04:39:13Z,1,Nice
@user-xr2dy1gf2d,2024-01-14T04:39:11Z,2024-01-14T04:39:11Z,1,Jai sree Ram
@user-yg3hn4zb9d,2024-01-14T04:38:23Z,2024-01-14T04:38:23Z,0,Muslim hote nahi bna padhta hai😅
